2011_UID,2016_UID,Latitude,Longitude,2016_Latitude,2016_Longitude,Latitude difference,Longitude difference,2011_WetlandType,2016_WetlandType,2011_NSPP,2016_NSPP,NSPP_DIFF,2011_ShannonDiv,2016_ShannonDiv,Shannon_Diff,2011_XN_ALIENSPP,2016_XN_ALIENSPP,XN_ALIENSPP_DIFF,2011_XRCOV_ALIENSPP,2016_XRCOV_ALIENSPP,XRCOV_ALIENSPP_DIFF,2011_XN_NATSPP,2016_XN_NATSPP,XN_NATSPP_DIFF,2011_XRCOV_NATSPP,2016_XRCOV_NATSPP,XRCOV_NATSPP_DIFF,2011_PCTN_HERB,2016_PCTN_HERB,PCTN_HERB_DIFF,16_SLA_prevalence,16_AnTol_prevalence,16_CN_prevalence,2011 SLA_Mean,2016 SLA_Mean,SLA_Change,2011 SLA_Variance,2016 SLA Variance,SLA_Variance_Change,2011 Anaerobic Tolerance_ Mean,2016 Anaerobic Tolerance_ Mean,AnaerobicTol_Change,2011 Anaerobic Tolerance_ Variance,2016 Anaerobic Tolerance_ Variance,AnaerobicTol_Variance_Change,2011 CN_Ratio_ Mean,2016 CN_Ratio Mean,CN_Ratio_Change,2011 CN_Variance,2016 CN Ratio Variance,CN_Ratio_Variance_Change
2610,204253,30.15119,-85.04415,30.15119,-85.04415,0,0,PEM,PSS,74,63,-11,2.4071,2.614452683,0.207352683,0,0,0,0,0,0,38.2,27.8,-10.4,99.91,83.10920365,-16.80079635,77.03,69.84126984,-7.188730159,0.031783551,0.359177691,0.356591418,0.212671363,0.116746965,-0.095924398,0.212671363,1.759602079,-1.546930716,0.024725761,0.053100504,-0.028374743,0.186746069,0.118032064,0.068714005,0.610793651,0.062867615,0.547926035,1.732623272,0.172507014,1.560116258
2611,201075,32.5344469,-80.45276742,32.53445,-80.45277,3.1E-06,-2.58E-06,E2EM,E2EM,6,6,0,1.0852,0.769022621,-0.316177379,0,0,0,0,0,0,3.2,2.2,-1,100,99.13043478,-0.869565217,83.33,66.66666667,-16.66333333,0.008695652,0.996086106,0.644229466,5.507893225,0.260722522,-5.247170703,5.507893225,1.430456389,4.077436836,2.10602,1.990158541,0.115861459,1.352216545,1.810280357,-0.458063812,1.994444444,1.222463201,0.771981243,0.811921296,0.785689334,0.026231962
2669,197720,29.66114,-81.7658,29.66114,-81.765799,0,1E-06,PFO,PFO,57,70,13,2.9728,3.148066028,0.175266028,1,0.6,-0.4,0.17,0.200653433,0.030653433,26.6,32.2,5.6,99.83,94.76887694,-5.061123055,45.61,38.57142857,-7.038571429,0.449725888,0.745486987,0.793919906,1.005317032,0.651591664,-0.353725369,1.005317032,11.73489201,-10.72957498,0.094415102,0.067833217,0.026581885,0.427966983,0.172485209,0.255481774,0.350668312,0.099153349,0.251514962,1.109985878,0.353798136,0.756187742
2791,200920,32.39326,-80.66386,32.39326,-80.66386,0,0,E2EM,E2EM,9,12,3,1.4748,1.80267485,0.32787485,0,0,0,0,0,0,4.6,5.6,1,100,99.30820443,-0.691795568,66.67,58.33333333,-8.336666667,0.007025947,0.713366173,0.480112125,1.399596453,0.091579751,-1.308016702,1.399596453,0.625104695,0.774491758,0.474426649,0.56553789,-0.091111241,2.120264285,1.360289968,0.759974317,2.583939802,0.408240569,2.175699233,1.133456504,0.872197719,0.261258785
2812,197200,30.26178475,-87.7289122,30.26178,-87.72891,-4.75E-06,2.2E-06,E2EM,E2EM,22,34,12,2.0966,1.852353857,-0.244246143,0,0.2,0.2,0,0.039370079,0.039370079,8.6,10.2,1.6,98.98,56.3253127,-42.6546873,72.73,50,-22.73,0.415332851,0.379673422,0.247354535,2.428495401,18.99888357,16.57038817,2.428495401,607.3903139,-604.9618185,0.176978022,0.18566595,-0.008687928,1.678702284,0.483550145,1.195152139,1.206587301,0.129512577,1.077074724,1.943598581,0.206654668,1.736943912
3314,211680,37.51965,-122.21677,37.51966,-122.21675,1E-05,2E-05,E2EM,E2EM,7,6,-1,1.0875,1.088749219,0.001249219,0,0.4,0.4,0,3.582887701,3.582887701,4.4,4.4,0,98.63,96.4171123,-2.212887701,71.43,66.66666667,-4.763333333,0,0.013449057,0.013449057,1.408109815,,-1.408109815,1.408109815,,1.408109815,0.07003003,0.22110865,-0.15107862,0,0.163659064,-0.163659064,4,0.22110865,3.77889135,0,0.163659064,-0.163659064
3315,199802,32.26787523,-81.12259198,32.26788,-81.12257,4.77E-06,2.198E-05,PFO,PFO,31,22,-9,2.0117,1.275856495,-0.735843505,1.4,0,-1.4,1.01,0,-1.01,15.6,11,-4.6,98.87,99.96302122,1.093021219,61.29,50,-11.29,0.906338632,0.99902004,0.534632078,1.709613713,4.872322162,3.162708449,1.709613713,77.08724795,-75.37763424,0.161901088,0.367293266,-0.205392178,1.268888407,1.187448732,0.081439675,0.812478828,0.237824731,0.574654097,1.939301196,0.701268119,1.238033078
3316,200574,33.94470375,-82.31824702,33.94476,-82.31817,5.625E-05,7.702E-05,PUBPAB,PUBPAB,23,33,10,1.9421,2.341955752,0.399855752,0,0,0,0,0,0,7.2,13.2,6,90.98,88.26161391,-2.718386092,39.13,39.39393939,0.263939394,0.359269302,0.855560574,0.295905355,3.304581007,4.609395214,1.304814207,3.304581007,217.7374333,-214.4328523,0.53396184,0.27617887,0.257782969,1.540384683,0.785811075,0.754573608,2.077591464,0.137173939,1.940417525,0.798263557,0.273670132,0.524593425
3366,199802,32.26787523,-81.12259198,32.26788,-81.12257,4.77E-06,2.198E-05,PFO,PFO,24,22,-2,1.8343,1.275856495,-0.558443505,0.2,0,-0.2,0.16,0,-0.16,12.4,11,-1.4,72.72,99.96302122,27.24302122,58.33,50,-8.33,0.906338632,0.99902004,0.534632078,1.86097502,4.872322162,3.011347142,1.86097502,77.08724795,-75.22627293,0.18394465,0.367293266,-0.183348616,1.438518137,1.187448732,0.251069405,0.914437659,0.237824731,0.676612928,2.094236614,0.701268119,1.392968496
3403,200376,34.88362396,-76.51596497,34.883623,-76.515965,-9.6E-07,-3E-08,E2SS,E2SS,47,46,-1,2.0682,1.891445479,-0.176754521,0,0,0,0,0,0,24.2,19.4,-4.8,99.93,99.228106,-0.701893995,53.19,45.65217391,-7.537826087,0.38960268,0.758877708,0.861473778,0.632399236,0.612438429,-0.019960807,0.632399236,5.696344677,-5.063945441,0.098096761,0.150961896,-0.052865135,0.534628578,0.449263515,0.085365063,0.289947677,0.164508985,0.125438692,0.919823826,0.510724806,0.40909902
