SITE_ID,UID,VISIT_NO,REF_NWCA,NWCA_ECO4,NWCA_WET_GRP,TOTN_SPP,TOTN_FAM,H_ALL,J_ALL,D_ALL,TOTN_NATSPP,TOTN_INTRSPP,H_NAT,J_NAT,D_NAT,N_GRAMINOID,N_FORB,N_HERB,N_SHRUB,N_TREE,N_ANNUAL,N_PERENNIAL,FREQ_SUBMERGED_AQ,FREQ_FLOATING_AQ,FREQ_VTALL_VEG,FREQ_TALL_VEG,FREQ_HMED_VEG,FREQ_MED_VEG,FREQ_SMALL_VEG,FREQ_VSMALL_VEG,FREQ_H2O,FREQ_LITTER,FREQ_EXPOSED_SOIL,FREQ_EXPOSED_GRAVEL,XABCOV_AC,ELEVMAX_200M,ELEVMEAN_200M,ELEVMIN_200M,PCVPY_PT,PIP_PT,PMAX_PT,PMEAN_PT,PMIN_PT,TIP_PT,TMAX_PT,TMAXSD_PT,TMEAN_PT,TMEANPW_PT,TMEANPY_PT,TMEANSD_PT,TMIN_PT,TMINSD_PT,pH_All_Layers,pH_Upper_Layer
NWCA11-1002,2812,1,L,CPL,EH,22,13,2.0966,0.6783,0.8218,21,0,2.0608,0.6769,0.8182,6,10,16,1,2,1,17,0,0,0,0,20,80,100,100,0,100,0,0,0,2.63,1.838,-5.00E-02,0.37476,79.042,10.889,109.837,6.697,23.081,18.25,0.671,12.999,9.30E-02,13.213,0.554,7.75,0.485,5.033333333,5.033333333
NWCA11-1002,3473,2,L,CPL,EH,26,15,1.9347,0.5938,0.7879,23,2,1.8909,0.6031,0.784,8,9,17,1,2,2,21,0,0,0,0,0,0,100,100,0,100,0,0,0.6,1.16,0.856,5.00E-02,0.553647,60.634,19.39,157.104,10.113,27.067,25.14,0.513,19.946,10.466,20.577,0.467,14.76,0.535,,
NWCA11-1003,3796,2,I,CPL,PRLW,29,20,2.5155,0.747,0.8951,26,1,2.4479,0.7513,0.885,11,7,18,3,3,1,26,0,0,0,0,80,80,100,100,0,100,20,0,0.2,0.68,0.496,0.41,0.719783,77.929,17.772,162.848,10.529,27.107,25.77,0.479,20.517,11.158,20.968,0.43,15.26,0.51,,
NWCA11-1003,3955,1,I,CPL,PRLW,31,20,2.5259,0.7356,0.8942,29,0,2.3553,0.6995,0.8711,11,8,19,3,2,1,27,0,0,0,0,80,100,100,100,0,100,20,0,0,0.76,0.479,0.11,0.513363,64.81,18.196,157.527,10.06,27.206,24.9,0.498,19.893,10.292,20.566,0.469,14.89,0.527,,
NWCA11-1005,3981,1,I,CPL,EW,33,23,2.8755,0.8224,0.9167,31,2,2.763,0.8046,0.9045,7,10,17,1,1,2,29,0,0,0,0,0,100,100,100,80,100,100,0,20,0.54,0.435,0.38,0.671686,83.207,19.667,169.623,10.464,27.491,25.14,0.554,20.802,11.408,21.342,0.468,16.46,0.51,,
NWCA11-1006,2776,1,I,CPL,PRLW,34,22,2.8166,0.7987,0.9179,32,1,2.7695,0.7991,0.9151,2,7,9,6,6,1,31,0,0,0,0,100,100,100,100,0,100,20,0,4,0.47,0.355,0,0.722009,81.436,18.346,162.286,9.677,27.462,24.88,0.482,20.449,10.397,20.818,0.421,16.02,0.493,,
NWCA11-1007,5055,1,I,CPL,PRLW,23,17,1.8967,0.6049,0.7664,22,1,1.8731,0.606,0.7639,3,2,5,3,6,0,22,0,0,0,80,100,80,100,100,0,100,20,0,1,0.18,0.047,-0.23,0.734412,71.356,20.524,132.537,5.043,27.22,26.54,0.613,21.656,12.888,21.994,0.58,16.77,0.941,5.9,5.9
NWCA11-1009,5059,1,I,CPL,EW,25,16,2.2011,0.6838,0.8111,21,3,1.9736,0.6482,0.7718,8,7,15,2,2,0,24,0,0,0,0,0,100,100,100,0,100,100,0,17,1.02,0.966,-9.00E-02,0.426372,40.681,18.759,144.619,7.578,26.154,25.72,0.542,20.019,9.568,19.89,0.487,14.32,0.581,6.35,6.35
NWCA11-1010,3562,1,I,CPL,EH,6,4,1.3402,0.748,0.6904,6,0,1.3402,0.748,0.6904,5,0,5,0,0,0,5,0,0,0,0,0,0,100,100,0,100,20,0,0,0.88,0.129,0,0.857901,64.858,21.554,145.268,7.657,25.496,22.27,0.705,17.402,5.99,17.563,0.704,12.54,0.908,6.3,6.3
NWCA11-1011,3265,1,L,CPL,PRLW,39,30,2.7734,0.757,0.9124,36,1,2.6277,0.7333,0.8963,4,10,14,3,7,0,37,0,0,0,100,100,100,100,100,20,80,100,0,12,1.15,1.077,0.94,0.563137,51.547,18.836,128.464,5.512,26.854,24.53,0.544,20.046,10.347,20.252,0.555,15.56,0.719,4.2,4.2
